-0.192574	1.182706	3.463333	1.434588
0.134498	1.034272	3.490000	2.013509
0.631250	1.573488	3.456667	2.599812
0.032418	1.980648	3.576667	3.865664
1.612645	2.024504	3.973333	2.951226
2.122225	1.729713	4.076667	2.958505
3.370384	1.474149	4.073333	2.630833
4.998304	2.544740	4.166667	1.925898
6.717635	2.598666	4.556667	0.587110
6.355502	3.363634	4.913333	0.437507
6.298742	4.195209	5.410000	-0.361975
6.373013	3.658458	5.563333	-1.016465
6.496134	1.816757	4.823333	-0.310663
5.699845	2.179382	3.990000	1.807006
5.570214	3.923244	3.893333	2.623135
5.442011	4.413517	4.173333	2.645736
6.663263	4.349028	4.786667	1.306667
7.580054	4.173047	5.980000	0.481962
7.422436	3.938068	5.943333	0.883279
6.940113	5.622487	5.916667	1.354039
7.628967	4.142188	6.566667	0.292512
7.078826	5.148954	8.326667	-0.465269
6.842170	5.722033	8.983333	-1.806135
5.455211	5.176747	8.940000	-1.673040
4.341707	5.672798	8.573333	-2.581639
3.568107	5.462239	7.880000	-2.698829
3.456125	3.181133	6.703333	-2.121235
1.366837	5.132054	5.566667	0.332549
3.116131	5.968673	3.856667	0.195124
2.681246	5.214760	4.563333	1.892471
2.490319	4.021662	5.473333	2.717060
1.780882	3.191197	4.750000	4.303353
1.986463	6.213008	3.540000	4.547785
3.367843	2.383670	4.300000	3.895199
3.357619	3.866562	4.740000	5.587743
4.075679	5.280691	5.143333	5.752829
5.640347	4.773698	6.536667	3.962858
5.845530	6.142155	7.816667	3.499608
4.368285	7.721811	10.56000	2.829746
4.384034	7.844356	9.996667	1.879570
2.573823	7.573647	9.323333	2.707251
1.926339	9.310735	11.25000	1.089320
0.024418	11.58632	12.09000	0.356200
-1.297007	11.79061	9.346667	-0.512904
-3.413756	9.084848	6.303333	0.985726
-3.585300	6.043188	5.420000	2.881242
-2.903873	7.365177	6.160000	2.353851
-2.520713	6.975597	5.413333	1.893278
-1.201119	4.397723	4.826667	1.775511
-1.334886	4.259547	5.196667	2.759632
-1.767473	5.434798	5.283333	4.038987
-1.925354	7.233932	4.873333	5.212971
-1.590083	6.502953	4.660000	5.582936
